Speed,Duration,Waiting Time,Time Loss,Depart Delay
3.02,184.36,105.11,136.48,0.09
2.88,194.93,114.21,147.21,0.15
2.27,441.7,350.38,389.38,14.28
1.92,744.42,638.59,683.16,66.33
