Speed,Duration,Waiting Time,Time Loss,Depart Delay
5.63,109.71,33.36,54.46,0.12
4.2,229.54,140.08,176.01,7.84
2.9,510.77,401.11,451.26,79.32
2.59,636.66,519.87,574.7,157.75
