Speed,Duration,Waiting Time,Time Loss,Depart Delay
3.11,176.61,97.81,128.84,0.14
3.09,177.66,98.65,130.48,0.6
3.04,179.23,100.34,131.81,0.1
2.84,192.12,111.61,144.58,0.27
