Speed,Duration,Waiting Time,Time Loss,Depart Delay
2.12,366.31,278.09,317.36,7.8
1.99,433.52,342.34,383.19,24.73
1.58,904.24,792.88,840.39,141.87
1.36,1145.46,1023.81,1076.3,218.49
