Speed,Duration,Waiting Time,Time Loss,Depart Delay
2.69,216.7,133.39,168.97,0.11
2.7,221.9,138.72,174.74,0.62
2.59,228.83,145.28,181.41,0.12
2.06,463.32,370.2,410.74,6.8
