Speed,Duration,Waiting Time,Time Loss,Depart Delay
5.57,106.66,28.79,51.43,0.13
5.13,118.67,39.45,66.41,0.24
3.61,235.49,138.66,181.88,16.42
2.9,392.15,285.21,337.2,64.61
