Speed,Duration,Waiting Time,Time Loss,Depart Delay
5.43,111.83,32.06,56.61,0.33
4.83,131.67,48.07,79.48,0.52
3.86,184.34,88.56,130.91,2.35
3.02,304.37,198.43,250.11,20.93
