Speed,Duration,Waiting Time,Time Loss,Depart Delay
1.99,561.5,456.31,510.14,4.53
1.86,763.26,650.06,706.72,16.48
1.7,859.93,741.21,800.79,43.01
1.29,1247.71,1109.74,1178.15,374.66
