Speed,Duration,Waiting Time,Time Loss,Depart Delay
2.05,420.25,331.6,370.61,12.82
1.59,846.04,735.99,782.88,59.78
1.56,854.25,744.29,794.91,75.5
1.24,1354.11,1222.33,1279.57,250.96
