Speed,Duration,Waiting Time,Time Loss,Depart Delay
1.99,561.5,456.31,510.14,4.53
1.86,763.26,650.06,706.72,16.48
1.7,859.93,741.21,800.79,43.01
1.34,1081.86,950.17,1017.7,205.47
