Speed,Duration,Waiting Time,Time Loss,Depart Delay
5.64,105.37,26.72,50.17,0.13
5.38,111.87,33.14,59.59,0.26
4.19,164.8,73.96,111.3,2.56
3.6,237.72,138.75,184.47,22.93
