Speed,Duration,Waiting Time,Time Loss,Depart Delay
3.11,176.61,97.81,128.84,0.14
3.04,179.23,100.34,131.81,0.1
2.84,192.12,111.61,144.58,0.27
2.12,552.79,454.73,494.65,12.79
