Speed,Duration,Waiting Time,Time Loss,Depart Delay
5.53,112.48,33.14,57.28,0.15
4.27,191.98,100.08,139.86,1.61
3.09,352.78,242.83,298.78,40.21
2.82,464.77,349.82,408.78,89.07
